names,date_x,score,genre,overview,orig_title,status,orig_lang,budget_x,revenue,country
Flight of the Navigator,04/10/1987 ,69.0,"Family, Science Fiction, Adventure","12-year-old David is accidentally knocked out in the forest near his home, but when he awakens eight years have passed. His family is overjoyed to have him back, but is just as perplexed as he is that he hasn't aged. When a NASA scientist discovers a UFO nearby, David gets the chance to unravel the mystery and recover the life he lost.",Flight of the Navigator, Released, English,9000000.0,18564613.0,AU
Stepping into Love,04/06/2023 ,0.0,"TV Movie, Comedy, Romance","When her art museum faces money problems, a conventional curator works with an avant garde artist to develop an unconventional exhibit. She learns to color outside the lines to save the museum and find love.",Stepping into Love, Released, English,246000000.0,178359863.0,DE
They Call Me Trinity,12/22/1970 ,76.0,"Action, Comedy, Western","The simple story has the pair coming to the rescue of peace-loving Mormons when land-hungry Major Harriman sends his bullies to harass them into giving up their fertile valley. Trinity and Bambino manage to save the Mormons and send the bad guys packing with slapstick humor instead of excessive violence, saving the day.", Lo chiamavano Trinità..., Released, Italian,100800000.0,422334998.0,IT
Future World,05/25/2018 ,44.0,Science Fiction,A young boy searches a future world wasteland for a rumored cure for his dying mother.,Future World, Released, English,96300000.0,439688164.2,US
Westworld,11/21/1973 ,68.0,"Adventure, Science Fiction, Western","A robot malfunction creates havoc and terror for unsuspecting vacationers at a futuristic, adult-themed amusement park.",Westworld, Released, English,104800000.0,316773344.4,AU
Titanic,04/11/1953 ,66.0,"Drama, Romance","Unhappily married, Julia Sturges decides to go to America with her two children on the Titanic. Her husband, Richard also arranges passage on the luxury liner so as to have custody of their two children. All this fades to insignificance once the ship hits an iceberg.",Titanic, Released, English,200000000.0,2222985568.0,US
The Wishmas Tree,02/27/2020 ,67.0,"Animation, Family, Adventure, Action","A young possum's misguided wish for a white Wishmas not only freezes her entire hometown of Sanctuary City, but also threatens the lives of all who live there. Before the magical Wishmas Tree dies, she must undertake a perilous journey into the WILD; battling self-doubt, ghostly predators and ultimately, Extinction itself, to reverse the damage she has caused and save her city.",The Wishmas Tree, Released, English,131200000.0,732357781.4,AU
Halo 3 Essentials,09/25/2007 ,0.0,,"Completely remastered, high resolution versions of the Halo and Halo 2 cinematics with 5.1 audio and an optional ""Director’s Commentary"" track featuring Martin O'Donnell, Joseph Staten, and Jason Jones. Bestiarum: An expanded digital guide to the creatures, cultures, and worlds of Halo 3, with art and assets exclusive to this interactive edition. The Cortana Chronicles: Jen Taylor, the voice of Cortana, takes us on a tour of the worldwide Halo fan community, where she meets Halo fanatics from near and far, obscure and famous alike. All-new, exclusive Machinima episodes from Red vs Blue and This Spartan Life, as well as a novel ""mockumentary"" voiced by Sgt. Johnson himself, David Scully.",Halo 3 Essentials, Released, English,167540000.0,175269998.8,US
The Closet,02/05/2020 ,73.0,"Horror, Thriller","After moving into a new house, a young girl begins displaying strange and disturbing behavior until, one day, she disappears behind a closet. While the devastated father is left with no clue about his daughter’s disappearance, an exorcist shows up to help.", 클로젯, Released, Korean,151000000.0,455339133.0,KR
Casper's Scare School,10/20/2006 ,51.0,"Adventure, Animation, Comedy, Family, Fantasy","When Casper's been being friendly lately even when playing with a boy named Jimmy, Kibosh: The King of the Underworld has Casper enrolled into a Scare School headed by the two-headed headmaster Alder and Dash. He befriends Ra, a mummy with unraveling issues and Mantha, a zombie girl who keeps falling apart. When Casper discovers the two-headed headmaster's plot to use a petrification potion to turn Kibosh into stone and take over the Underworld and Deedstown, he and his new friends must stop him.",Casper's Scare School, Released, English,128800000.0,649084190.4,US
Security,06/16/2021 ,56.0,Thriller,"After the assault of a young woman in their seaside town, a security expert and his family get caught in a powerful riptide of secrets and lies.",Security, Released, Italian,115000000.0,604531768.4,AU
The Happytime Murders,11/21/2018 ,57.0,"Action, Comedy, Crime","In a world where human beings and puppets live together, when the members of the cast of a children's television show aired during the 1990s begin to get murdered one by one, puppet Phil Philips, a former LAPD detective who fell in disgrace and turned into a private eye, takes on the case at the request of his old boss in order to assist detective Edwards, who was his partner in the past.",The Happytime Murders, Released, English,40000000.0,27506412.0,AU
A Perfect World,11/24/1993 ,75.0,"Crime, Drama, Thriller","A kidnapped boy strikes up a friendship with his captor: an escaped convict on the run from the law, headed by an honorable U.S. Marshal.",A Perfect World, Released, English,30000000.0,135130999.0,US
The Nanny Diaries,10/04/2007 ,64.0,"Comedy, Drama, Romance","A college graduate goes to work as a nanny for a rich New York family. Ensconced in their home, she has to juggle their dysfunction, a new romance, and the spoiled brat in her charge.",The Nanny Diaries, Released, English,20000000.0,47817020.0,AU
Happiest Season,11/26/2020 ,74.0,"Romance, Comedy",A young woman's plans to propose to her girlfriend while at her family's annual holiday party are upended when she discovers her partner hasn't yet come out to her conservative parents.,Happiest Season, Released, English,3390460.0,1401954.0,AU
LEGO Star Wars Holiday Special,11/17/2020 ,67.0,"Animation, Family, Adventure, Comedy, Science Fiction, Action, TV Movie","As her friends prep for a Life Day holiday celebration, Rey journeys with BB-8 on a quest to gain a deeper knowledge of the Force at a mysterious Jedi Temple. There, she embarks on a cross-timeline adventure through beloved moments in Star Wars history, coming into contact with iconic heroes and villains from all eras of the saga. But will she make it back in time for the Life Day feast?",LEGO Star Wars Holiday Special, Released, English,108144000.0,424370509.4,AU
Sofia the First: Once Upon a Princess,11/18/2012 ,73.0,"Animation, Family","Set in the storybook world of Enchancia, the music-filled movie follows Sofia, an average girl whose life suddenly changes when her mother marries the king and she is whisked off to live in a castle with her mom, new step-father, King Roland II, and step-siblings, Amber and James. Along the way this ordinary girl learns to navigate the extraordinary life of royalty, and in the process makes everyone around her feel special.",Sofia the First: Once Upon a Princess, Released, English,59000000.0,590853673.0,US
Poetic Justice,07/23/1993 ,69.0,"Drama, Romance","Still grieving after the murder of her boyfriend, hairdresser Justice writes poetry to deal with the pain of her loss. Unable to get to Oakland to attend a convention because of her broken-down car, Justice gets a lift with her friend, Iesha and Iesha's postal worker boyfriend, Chicago. Along for the ride is Chicago's co-worker, Lucky, to whom Justice grows close after some initial problems. But is she ready to open her heart again?",Poetic Justice, Released, English,14000000.0,27450453.0,US
Waves,07/09/2020 ,74.0,"Romance, Drama",A controlling father’s attempts to ensure that his two children succeed in high school backfire after his son experiences a career-ending sports injury. Their familial bonds are eventually placed under severe strain by an unexpected tragedy.,Waves, Released, English,6000000.0,2576990.0,AU
What a Good Secretary Wants,05/20/2016 ,50.0,"Romance, Drama","The silent secret of the perfect woman.  Genius Consulting is a recruiting company that provides Board of Members of large corporates and professional talents to China. As the original secretary for Joo Yeong-cheol, CEO of the company went on her maternity leave, Ji-won, a new secretary is hired and starts filling the position.  All the employees welcome her who looks sexy at a glance, is capable of doing her job and also has a warm good personality.  On a rainy night, CEO Joo and his new secretary Ji-won have a brief beer break, while working until late at night in the office.", 착한 여비서의 목적, Released, Korean,63000000.0,652818078.0,KR
Colette,12/10/2018 ,69.0,"Drama, History","After marrying a successful Parisian writer known commonly as Willy, Sidonie-Gabrielle Colette is transplanted from her childhood home in rural France to the intellectual and artistic splendor of Paris. Soon after, Willy convinces Colette to ghostwrite for him. She pens a semi-autobiographical novel about a witty and brazen country girl named Claudine, sparking a bestseller and a cultural sensation. After its success, Colette and Willy become the talk of Paris and their adventures inspire additional Claudine novels.",Colette, Released, English,15720000.0,14273033.0,AU
Blade Runner: Black Out 2022,01/17/2018 ,72.0,"Action, Animation, Science Fiction","This animated short revolves around the events causing an electrical systems failure on the west coast of the US. According to Blade Runner 2049’s official timeline, this failure leads to cities shutting down, financial and trade markets being thrown into chaos, and food supplies dwindling. There’s no proof as to what caused the blackouts, but Replicants  -  the bio-engineered robots featured in the original Blade Runner, are blamed.", ブレードランナー ブラックアウト 2022, Released, English,180400000.0,184680050.0,AU
I Spit on Your Grave: Déjà Vu,04/23/2019 ,30.0,"Horror, Thriller","Following her rape, Jennifer Hills wrote a bestselling account of her ordeal and of the controversial trial in which she was accused of taking the law into her own hands and brutally killing her assailants. In the small town where the rape and revenge took place, the relatives of the rapists she killed are furious that the court declared her not guilty and resolve to take justice into their own hands.",I Spit on Your Grave: Déjà Vu, Released, English,15541000.0,38139010.0,US
Attraction,04/22/2001 ,71.0,"Thriller, Romance",A writer/radio advice show host fails to heed his own advice as he stalks his ex-girlfriend and then becomes involved with an actress friend of hers.,Attraction, Released, English,196200000.0,428915824.0,US
Ranma ½: The Movie 3  -  The Super Non-Discriminatory Showdown: Team Ranma vs. the Legendary Phoenix,08/20/1994 ,77.0,"Animation, Comedy","In this animated short, poetry-spouting high-school swordsman Tatewaki Kuno comes into possession of the egg of the legendary phoenix, which is said to grant its owner incredible powers. A shopkeeper sells the egg to Kuno on one condition: ""Never, never, in any circumstance, put the darn thing on your head.""", らんま½ 超無差別決戦! 乱馬チームVS伝説の鳳凰, Released, Japanese,65400000.0,413459843.2,JP
Death Wish II,02/20/1982 ,63.0,"Action, Crime, Drama",Paul Kersey is again a vigilante trying to find five punks who murdered his housekeeper and daughter in Los Angeles.,Death Wish II, Released, English,2000000.0,45000000.0,US
Pokémon: Giratina and the Sky Warrior,07/19/2008 ,68.0,"Family, Adventure, Animation, Fantasy","When Giratina is discovered to be able to create parallel dimensions, it's up to Ash and his friends to stop a mysterious stranger from using its powers for evil.", 劇場版ポケットモンスター ダイヤモンド&パール ギラティナと氷空（そら）の花束 シェイミ, Released, Japanese,56700000.0,43300000.0,JP
Hot Tub Time Machine 2,09/02/2015 ,52.0,Comedy,"After their first adventure with the ""Hot Tub Time Machine,"" Lou and Nick are living very well off their ill-gotten gains, while Jacob still cannot rely on Lou to be a positive role model. When an unknown assailant breaks into Lou's mansion and shoots him, Nick and Jacob take him for another trip in the hot tub. They emerge in the year 2025, where they must figure out who shot Lou and prevent it from happening again.",Hot Tub Time Machine 2, Released, English,14000000.0,12826644.0,AU
NiNoKuni,08/23/2019 ,66.0,"Animation, Action, Adventure, Family, Fantasy, Romance","Adapted from the video game series of the same name, NiNoKuni follows high school peers Yuu and Haru who must travel between two separate yet parallel worlds to help save their childhood friend, Kotona, whose life is in danger. In this magical quest complicated by love, the three teens will be tasked with making the ultimate choice.", 二ノ国, Released, Japanese,103000000.0,395805039.2,JP
Xtreme,06/04/2021 ,65.0,"Action, Adventure, Crime","Two years after the murder of his son and father, a retired hitman sets in motion a carefully crafted revenge plan against the killer: his own brother.", Xtremo, Released,Spanish,149000000.0,251276175.0,AU
The Whole Nine Yards,03/30/2000 ,64.0,"Comedy, Crime","After a mobster agrees to cooperate with an FBI investigation in order to stay out of prison, he's relocated by the authorities to a life of suburban anonymity as part of a witness protection program. It's not long before a couple of his new neighbours figure out his true identity and come knocking to see if he'd be up for one more hit - suburban style.",The Whole Nine Yards, Released, English,24000000.0,85527867.0,AU
The King of Comedy,02/18/1983 ,78.0,"Drama, Comedy","Aspiring comic Rupert Pupkin attempts to achieve success in show business by stalking his idol, a late night talk-show host who craves his own privacy.",The King of Comedy, Released, English,20000000.0,2536000.0,US
El Padrecito,09/03/1964 ,79.0,Comedy,"Young priest Father Sebastián is assigned to a parish in San Jeronimo el Alto, where he is not welcomed by the community, particularly the resident priest Father Damián. The newcomer gradually earns the trust of the people through humor, but firmly captures their hearts by saving the town fiesta by fighting a bull when the hired torero failed to show. Father Sebastián counsels the townspeople, lecturing them on their duties in a modern society. He used the collection plate to redistribute the town's wealth more evenly.",El Padrecito, Released,Spanish,113870000.0,530850720.0,MX
Extreme Job,01/23/2019 ,70.0,"Action, Comedy, Crime","A drug squad attempts to take down a criminal organization and they must go undercover to do so, so they begin working at a chicken restaurant, that becomes famous for its delicious chicken. Due to the unexpected popularity, the detectives find themselves in a situation they never expected.", 극한직업, Released, Korean,8120000.0,124652206.0,KR
Mansfield Park,03/18/2007 ,61.0,"Drama, TV Movie","In Mansfield Park, poverty-stricken Fanny Price is sent away to live with her wealthy uncle and aunt at Mansfield Park. As she struggles to adapt to her new lifestyle she begins to attract the attentions of suitors, learning about the sexual politics of high society along the way.",Mansfield Park, Released, English,62900000.0,414820827.8,GB
The Wrestler,01/09/2009 ,75.0,"Drama, Romance","Aging wrestler Randy ""The Ram"" Robinson is long past his prime but still ready and rarin' to go on the pro-wrestling circuit. After a particularly brutal beating, however, Randy hangs up his tights, pursues a serious relationship with a long-in-the-tooth stripper, and tries to reconnect with his estranged daughter. But he can't resist the lure of the ring and readies himself for a comeback.",The Wrestler, Released, English,6000000.0,46634275.0,AU
X-Deal 2,03/25/2022 ,73.0,Drama,"In an island, a young couple, Emily and Peter, offers a sex swap with fellow guest Olivia, a hot lesbian. What starts as a mutually-beneficial deal turns rough and tumble when Peter demands more than what he bargained for.",X-Deal 2, Released, Tagalog,71400000.0,751654707.4,PH
The Legend of the Chupacabras,10/21/2016 ,71.0,"Animation, Action, Adventure, Fantasy, Horror, History, Family","Leo San Juan and his team of ""ghostbusters"" continue with their adventures, this time fighting against the mexican monster himself: ""El Chupacabras"".", La Leyenda del Chupacabras, Released,Spanish,1600000.0,5138140.0,MX
Dirty Sexy Saint,12/08/2019 ,65.0,"Romance, Drama, Comedy","Clay Kincaid hates the nickname 'Saint', he got for being too kind to stray animals and desperate people. Especially when it comes to women. With a rough and damaged past that has left him jaded, he doesn't do committed relationships. This is before he meets Samantha Jamieson, an heiress turned runaway in need of help. When she starts to work as a waitress at his bar, he discovers that she is someone truly special and amazing… someone that could warm his damaged heart.",Dirty Sexy Saint, Released, English,39600000.0,175862433.8,US
The Secret: Dare to Dream,10/01/2020 ,73.0,"Drama, Romance","A widow with three children hires a handyman to fix her house during a major storm. When not doing home repairs, he shares his philosophy of believing in the power of the universe to deliver what we want.",The Secret: Dare to Dream, Released, English,21000000.0,3215636.0,AU
Bedknobs and Broomsticks,12/07/1971 ,70.0,"Adventure, Fantasy, Comedy, Family, Music",Three children evacuated from London during World War II are forced to stay with an eccentric spinster. The children's initial fears disappear when they find out she is in fact a trainee witch.,Bedknobs and Broomsticks, Released, English,20000000.0,17900000.0,AU
I'll Always Know What You Did Last Summer,08/22/2006 ,43.0,Horror,"Several teenagers in a small-town in Colorado concoct a July 4th prank based on a frightening legend that goes awry when their friend ends up accidentally killed; however, the teens agree to keep their involvement a secret from the authorities, who continue to search for the man who apparently killed their friend. A year later, with the July 4th celebration coming up again, the teenagers realize that they're being stalked by someone who clearly intends on keeping the horrible legend alive by killing them off.",I'll Always Know What You Did Last Summer, Released, English,87600000.0,817860943.8,US
Dorian Gray,09/09/2009 ,60.0,"Fantasy, Drama, Thriller","Seduced into the decadent world of Lord Henry Wotton, handsome young aristocrat Dorian Gray becomes obsessed with maintaining his youthful appearance, and commissions a special portrait that will weather the winds of time while he remains forever young. When Gray's obsession spirals out of control, his desperate attempts to safeguard his secret turn his once-privileged life into a living hell.",Dorian Gray, Released, English,10500000.0,4706919.0,GB
Victor Frankenstein,03/10/2016 ,59.0,"Drama, Science Fiction, Thriller",Eccentric scientist Victor Von Frankenstein creates a grotesque creature in an unorthodox scientific experiment.,Victor Frankenstein, Released, English,40000000.0,31124367.0,AU
Fruitvale Station,01/28/2014 ,74.0,Drama,"Oakland, California. Young Afro-American Oscar Grant crosses paths with family members, friends, enemies and strangers before facing his fate on the platform at Fruitvale Station, in the early morning hours of New Year's Day 2009.",Fruitvale Station, Released, English,900000.0,17549645.0,AU
Bachelorette,09/05/2012 ,54.0,"Comedy, Romance",Three friends are asked to be bridesmaids at a wedding of a woman they used to ridicule back in high school.,Bachelorette, Released, English,3000000.0,12577401.0,AU
Young Adult,01/19/2012 ,58.0,"Comedy, Drama","A divorced writer from the Midwest returns to her hometown to reconnect with an old flame, who's now married with a family.",Young Adult, Released, English,12000000.0,22750356.0,AU
The Bubble,04/01/2022 ,47.0,Comedy,Sneaking out. Hooking up. Melting down. The cast and crew of a blockbuster action franchise attempt to shoot a sequel while quarantining at a posh hotel.,The Bubble, Released, English,100100000.0,947468745.8,AU
Blue Is the Warmest Color,11/16/2013 ,71.0,"Romance, Drama","Adèle's life is changed when she meets Emma, a young woman with blue hair, who will allow her to discover desire, to assert herself as a woman and as an adult. In front of others, Adele grows, seeks herself, loses herself, finds herself.", La Vie d'Adèle - Chapitres 1 et 2, Released, French,4300000.0,10165694.0,AU
The Pig Keeper's Daughter,08/18/1972 ,48.0,Comedy,"Since Moonbeam Swiner is The Pigkeeper's Daughter, it's no surprise that her best friend in the whole wide world is a little piggy named Lord Hamilton. And that has her Ma worried. After all, Moonbeam has reached the ripe old age of 19 and she still ain't hitched yet. So when a traveling salesman from the big city arrives on the scene, Ma quickly out-cons the con-artist and Pa arranges a shotgun wedding.",The Pig Keeper's Daughter, Released, English,83000000.0,475986048.2,DE
Unthinkable,12/15/2010 ,67.0,"Drama, Thriller",The government gets wind of a plot to destroy America involving a trio of nuclear weapons for which the whereabouts are unknown. It's up to a seasoned interrogator and an FBI agent to find out exactly where the nukes are.,Unthinkable, Released, English,15000000.0,200996247.4,AU
Burn After Reading,09/11/2008 ,66.0,"Comedy, Drama","When a disc containing memoirs of a former CIA analyst falls into the hands of gym employees, Linda and Chad, they see a chance to make enough money for Linda to have life-changing cosmetic surgery. Predictably, events whirl out of control for the duo, and those in their orbit.",Burn After Reading, Released, English,37000000.0,168167798.0,AU
Prisoners of the Ghostland,08/31/2021 ,52.0,"Action, Fantasy, Horror","In the treacherous frontier city of Samurai Town, a ruthless bank robber is sprung from jail by wealthy warlord The Governor, whose adopted granddaughter Bernice has gone missing. The Governor offers the prisoner his freedom in exchange for retrieving the runaway. Strapped into a leather suit that will self-destruct within five days, the bandit sets off on a journey to find the young woman - and his own path to redemption.",Prisoners of the Ghostland, Released, English,139400000.0,329571985.8,AU
Antiporno,01/28/2017 ,68.0,"Drama, Mystery",Young artist Kyoko wreaks havoc on everyone that she encounters when Japan's oldest major movie studio asks a batch of venerable filmmakers to revive its high-brow soft-core Roman Porno series., アンチポルノ, Released, Japanese,91200000.0,251678636.0,JP
Flubber,12/26/1997 ,56.0,"Comedy, Family, Science Fiction","Professor Phillip Brainard, an absent minded professor, works with his assistant Weebo, trying to create a substance that's a new source of energy and that will save Medfield College where his sweetheart Sara is the president. He has missed his wedding twice, and on the afternoon of his third wedding, Professor Brainard creates flubber, which allows objects to fly through the air.",Flubber, Released, English,80000000.0,177993801.0,AU
Halloween: Resurrection,11/28/2002 ,47.0,"Horror, Thriller","Serial Killer Michael Myers is not finished with Laurie Strode, and their rivalry finally comes to an end. But is this the last we see of Myers? Freddie Harris and Nora Winston are reality programmers at DangerTainment, and are planning to send a group of 6 thrill-seeking teenagers into the childhood home of Myers. Cameras are placed all over the house and no one can get out of the house... and then Michael arrives home!",Halloween: Resurrection, Released, English,15000000.0,37659652.0,AU
Police Story 2,09/08/1989 ,70.0,"Action, Crime, Thriller",The Hong Kong super-cop must stop a group of blackmailing bombers at the same time that the villains of the first Police Story are out for revenge., 警察故事續集, Released, Cantonese,120000000.0,321668463.0,AU
LEGO DC Comics Super Heroes: Justice League - Gotham City Breakout,06/21/2016 ,69.0,"Animation, Family, Adventure, Action, Comedy","The caped crusader reluctantly agrees to let Batgirl and Nightwing take him on a long overdue vacation from crime-fighting, while Superman and the Justice League watch over Gotham City.",LEGO DC Comics Super Heroes: Justice League - Gotham City Breakout, Released, English,133400000.0,732081775.6,US
Assassin's Creed: Ascendance,11/16/2010 ,57.0,"Animation, Action","The story is the bridges the gap of Assassin's Creed II and Assassin's Creed Brotherhood. After the destruction of Monteriggioni in the year 1500, Ezio met with Leonardo Da Vinci to gather information about the Pope's son, Cesare Borgia. Leonardo tells Ezio of Cesare's rise to power.",Assassin's Creed: Ascendance, Released, English,80000000.0,234272533.2,US
La Haine,02/22/1996 ,81.0,Drama,"After a chaotic night of rioting in a marginal suburb of Paris, three young friends, Vinz, Hubert and Saïd, wander around unoccupied waiting for news about the state of health of a mutual friend who has been seriously injured when confronting the police.",La Haine, Released, French,2600000.0,15300000.0,AU
Nicky Larson and the Cupid's Perfume,02/06/2019 ,65.0,"Adventure, Comedy","Nicky Larson is tasked to recover the perfume of Cupid, a perfume that would make anyone who uses it irresistible.", Nicky Larson et le parfum de Cupidon, Released, French,42780000.0,14702744.0,FR
Like Stars on Earth,08/29/2009 ,80.0,Drama,"Ishaan Awasthi is an eight-year-old whose world is filled with wonders that no one else seems to appreciate. Colours, fish, dogs, and kites don't seem important to the adults, who are much more interested in things like homework, marks, and neatness. Ishaan cannot seem to get anything right in class; he is then sent to boarding school, where his life changes forever.", तारे ज़मीन पर, Released, Hindi,2600000.0,28430000.0,AU
Streets of Fire,06/01/1984 ,69.0,Action,"Raven Shaddock and his gang of merciless biker friends kidnap rock singer Ellen Aim. Ellen's former lover, soldier-for-hire Tom Cody, happens to be passing through town on a visit. In an attempt to save his star act, Ellen's manager hires Tom to rescue her. Along with a former soldier, they battle through dangerous cityscapes, determined to get Ellen back.",Streets of Fire, Released, English,14500000.0,8089290.0,US
The Novice,12/17/2021 ,67.0,"Drama, Thriller","A college freshman joins her university's rowing team and undertakes an obsessive physical and psychological journey to make it to the top varsity boat, no matter the cost.",The Novice, Released, English,14000004.0,24322.0,US
The Possession,12/19/2012 ,60.0,"Horror, Thriller","A young girl buys an antique box at a yard sale, unaware that inside the collectible lives a malicious ancient spirit. The girl's father teams with his ex-wife to find a way to end the curse upon their child.",The Possession, Released, English,14000000.0,82925064.0,AU
Act of Valor,05/02/2012 ,65.0,"Action, Thriller, War","When a covert mission to rescue a kidnapped CIA operative uncovers a chilling plot, an elite, highly trained U.S. SEAL team speeds to hotspots around the globe, racing against the clock to stop a deadly terrorist attack.",Act of Valor, Released, English,12000000.0,82497035.0,AU
Emmanuelle,06/25/1974 ,59.0,"Drama, Romance","Emmanuelle, a svelte, naive young woman, is en route to Bangkok where she'll join her new husband. He works for the French Embassy and has a lovely home, several dedicated servants, and an expensive car at his disposal. Once Emmanuelle arrives, her husband and a few friends introduce her to a realm of sexual ecstasy she'd never imagined.",Emmanuelle, Released, French,500000.0,50319294.0,FR
Marvel Studios: Assembling a Universe,03/18/2014 ,70.0,"Documentary, TV Movie","A look at the story behind Marvel Studios and the Marvel Cinematic Universe, featuring interviews and behind-the-scenes footage from all of the Marvel films, the Marvel One-Shots and ""Marvel's Agents of S.H.I.E.L.D.""",Marvel Studios: Assembling a Universe, Released, English,95400000.0,314897128.4,US
Beasts of No Nation,10/16/2015 ,76.0,"Drama, War","Based on the experiences of Agu, a child fighting in the civil war of an unnamed, fictional West African country. Follows Agu's journey as he's forced to join a group of soldiers. While he fears his commander and many of the men around him, his fledgling childhood has been brutally shattered by the war raging through his country, and he is at first torn between conflicting revulsion and fascination.",Beasts of No Nation, Released, English,6000000.0,90777.0,US
Richard Jewell,02/13/2020 ,74.0,"Drama, History, Crime","Richard Jewell thinks quick, works fast, and saves hundreds, perhaps thousands, of lives after a domestic terrorist plants several pipe bombs and they explode during a concert, only to be falsely suspected of the crime by sloppy FBI work and sensational media coverage.",Richard Jewell, Released, English,45000000.0,43092210.0,AU
Standoff,02/26/2016 ,60.0,"Thriller, Drama","A troubled veteran gets a chance at redemption by protecting a girl from an assassin after she witnesses a murder. Holding a shotgun with a single shell, he engages in physical and psychological warfare in a desperate fight for the girl's life.",Standoff, Released, English,8000000.0,30664525.2,US
Inside Man: Most Wanted,09/24/2019 ,66.0,"Action, Crime, Thriller",An NYPD hostage negotiator teams up with a federal agent to rescue dozens of tourists held hostage during a 10-hour seige at the U.S. Federal Reserve.,Inside Man: Most Wanted, Released, English,101000000.0,321357348.6,US
Silver Bullet,10/11/1985 ,66.0,Horror,"The small city of Tarker's Mill is startled by a series of sadistic murders. The population fears that this is the work of a maniac. During a search a mysterious, hairy creature is observed. This strange appearance is noticed once a month. People lock themselves up at night, but there's one boy who's still outside, he's preparing the barbecue.",Silver Bullet, Released, English,7000000.0,10803211.0,US
1922,10/20/2017 ,59.0,"Horror, Crime, Drama","A simple yet proud rancher conspires to murder his wife for financial gain, convincing his teenage son to participate.",1922, Released, English,93459000.0,720295760.4,AU
The Prophecy,09/01/1995 ,65.0,"Horror, Fantasy, Thriller","The angel Gabriel comes to Earth to collect a soul which will end the stalemated war in Heaven, and only a former priest and a little girl can stop him.",The Prophecy, Released, English,8000000.0,16115878.0,US
Once Upon a Time in Venice,06/16/2017 ,52.0,"Action, Comedy, Thriller, Mystery","Steve Ford is a private detective in Venice Beach, Calif., who's good with the ladies, bad with the punches and wild about his dog Buddy. When local thugs steal Buddy, Ford turns to Spyder, their devious leader, and forges an unlikely alliance. With help from his best friend, Steve pulls out the big guns to retrieve Spyder's stolen cash and cocaine and save Buddy.",Once Upon a Time in Venice, Released, English,8520000.0,855888.0,US
My Babysitter's a Vampire,06/10/2011 ,69.0,"Adventure, Comedy, Family, Fantasy, TV Movie, Horror","Geeky 14-year old Ethan is left to babysit his younger sister, Jane, with his best friend Benny but after Ethan inadvertently puts Jane in harm's way, his parents hire a professional babysitter, the beautiful yet mysterious 17-year-old Sarah who, unbeknownst to them, is actually a fledgling vampire.",My Babysitter's a Vampire, Released, English,126000000.0,465470606.0,US
Only Yesterday,09/01/2006 ,74.0,"Animation, Drama, Romance","It's 1982, and Taeko is 27 years old, unmarried, and has lived her whole life in Tokyo. She decides to visit her family in the countryside, where she begins to reconnect to forgotten longings. In lyrical switches between the present and the past, Taeko contemplates the arc of her life, and wonders if she has been true to the dreams of her childhood self.", おもひでぽろぽろ, Released, Japanese,8344625.6,473110.0,AU
Something Borrowed,05/05/2011 ,63.0,"Comedy, Drama, Romance","Though Rachel is a successful attorney and a loyal, generous friend, she is still single. After one drink too many at her 30th-birthday celebration, Rachel unexpectedly falls into bed with her longtime crush, Dex -- who happens to be engaged to her best friend, Darcy. Ramifications of the liaison threaten to destroy the women's lifelong friendship, while Ethan, Rachel's confidant, harbors a potentially explosive secret of his own.",Something Borrowed, Released, English,35000000.0,65084116.0,AU
Deadly Illusions,03/18/2021 ,50.0,"Thriller, Drama","A bestselling female novelist, suffering from writer's block, hires an innocent young woman to watch over her twin children. As the novelist dangerously indulges in her new best seller, the line between the life she's writing and the one she's living becomes blurred.",Deadly Illusions, Released, English,165600000.0,372589869.0,GB
Paper Lives,03/12/2021 ,81.0,Drama,"In the streets of Istanbul, ailing waste warehouse worker Mehmet takes a small boy under his wing and must soon confront his own traumatic childhood.", Kağıttan Hayatlar, Released, Turkish,174400000.0,895189907.0,TR
Downrange,03/01/2018 ,58.0,"Thriller, Horror","Stranded at the side of the road after a tire blowout, a group of friends become targets for an enigmatic sniper.",Downrange, Released, English,107000000.0,297177664.0,US
Born to Race,03/19/2011 ,69.0,Action,"Born To Race is the story of Danny Krueger, a rebellious young street racer on a collision course with trouble. After an accident at an illegal street race, he is sent to a small town to live with his estranged father, a washed up NASCAR racer. When Danny decides to enter the NHRA High School Drags, he's forced to seek his father's help in taking down the local hot shot.",Born to Race, Released, English,54600000.0,225671705.0,US
This Means War,02/14/2012 ,61.0,"Action, Comedy, Romance",Two top CIA operatives wage an epic battle against one another after they discover they are dating the same woman.,This Means War, Released, English,65000000.0,156974557.0,AU
Mike's New Car,05/24/2002 ,69.0,"Animation, Comedy, Family, Fantasy","Mike discovers that being the top-ranking laugh collector at Monsters, Inc. has its benefits – in particular, earning enough money to buy a six-wheel-drive car that's loaded with gadgets. That new-car smell doesn't last long enough, however, as Sulley jump-starts an ill-fated road test that teaches Mike the true meaning of buyer's remorse.",Mike's New Car, Released, English,124400000.0,508761361.2,US
"Kim Ji-young, Born 1982",10/23/2019 ,74.0,Drama,"Kim Ji-young, an ordinary woman in her 30s, suddenly shows signs of being inhabited by other women from her life, past and present.", 82년생 김지영, Released, Korean,67800000.0,653988016.4,KR
